"date_report","reported","revised"
"21-09-2020",NA,1799
"22-09-2020",NA,1291
"23-09-2020",NA,1106
"24-09-2020",NA,1321
"25-09-2020",NA,1433
"26-09-2020",NA,1263
"27-09-2020",NA,1418
"28-09-2020",NA,2238
"29-09-2020",NA,1650
"30-09-2020",NA,1834
"01-10-2020",NA,1816
"02-10-2020",NA,2118
"03-10-2020",NA,1801
"04-10-2020",NA,1625
"05-10-2020",NA,2878
"06-10-2020",NA,2393
"07-10-2020",NA,1845
"08-10-2020",NA,2472
"09-10-2020",NA,2527
"10-10-2020",NA,2118
"11-10-2020",NA,1628
"12-10-2020",NA,1731
"13-10-2020",NA,3400
"14-10-2020",NA,2533
"15-10-2020",NA,2258
"16-10-2020",NA,2604
"17-10-2020",NA,2025
"18-10-2020",NA,1806
"19-10-2020",NA,3237
"20-10-2020",NA,2333
"21-10-2020",NA,2693
"22-10-2020",NA,2827
"23-10-2020",NA,2639
"24-10-2020",NA,2244
"25-10-2020",NA,2076
"26-10-2020",NA,4145
"27-10-2020",NA,2704
"28-10-2020",NA,2657
"29-10-2020",NA,3003
"30-10-2020",NA,3565
"31-10-2020",NA,2377
"01-11-2020",NA,2296
"02-11-2020",NA,3537
"03-11-2020",NA,4761
"04-11-2020",NA,3286
"05-11-2020",NA,3151
"06-11-2020",NA,4506
"07-11-2020",NA,3430
"08-11-2020",NA,3169
"09-11-2020","6551",6494
"10-11-2020",NA,4496
"11-11-2020","3951",3263
"12-11-2020",NA,6198
"13-11-2020","4770",4772
"14-11-2020",NA,3394
"15-11-2020","4236",3240
"16-11-2020",NA,8087
"17-11-2020","4469",4478
"18-11-2020",NA,4517
"19-11-2020","4793",4792
"20-11-2020",NA,5003
"21-11-2020","4913",4931
"22-11-2020",NA,4696
"23-11-2020","6897",6885
"24-11-2020",NA,5261
"25-11-2020","5128",5101
"26-11-2020",NA,5661
"27-11-2020","5954",5988
"28-11-2020",NA,5684
"29-11-2020","5355",5381
"30-11-2020",NA,7877
"01-12-2020","5675",5661
"02-12-2020",NA,6384
"03-12-2020","6209",6213
"04-12-2020",NA,6408
"05-12-2020","6235",6279
"06-12-2020",NA,6317
"07-12-2020","7938",7879
"08-12-2020",NA,6156
"09-12-2020","6359",6368
"10-12-2020",NA,6673
"11-12-2020","6689",6750
"12-12-2020",NA,5903
"13-12-2020","5813",5879
"14-12-2020",NA,8506
"15-12-2020","6187",6169
"16-12-2020",NA,6492
"17-12-2020","7045",7078
