"date","rr","gp","p","ts","w","r"
"125","2020-06-18",-17,5,139,-47,-40,13
"126","2020-06-19",-21,4,128,-45,-40,11
"127","2020-06-20",-22,3,135,-34,-6,4
"128","2020-06-21",-17,-2,149,-35,-2,1
"129","2020-06-22",-16,0,119,-47,-42,12
"130","2020-06-23",-17,6,95,-48,-42,12
"131","2020-06-24",-23,-8,122,-49,-49,15
"132","2020-06-25",-13,7,142,-44,-40,12
"133","2020-06-26",-20,1,129,-42,-39,11
"134","2020-06-27",-21,-1,117,-31,-8,5
"135","2020-06-28",-17,-5,153,-32,-4,2
"136","2020-06-29",-9,5,137,-46,-42,11
"137","2020-06-30",-2,21,133,-44,-41,10
"138","2020-07-01",-34,-16,234,-55,-67,16
"139","2020-07-02",-9,11,134,-46,-44,11
"140","2020-07-03",-15,6,151,-45,-47,12
"141","2020-07-04",-19,-1,183,-31,-8,3
"142","2020-07-05",-13,-3,190,-30,-6,0
"143","2020-07-06",-9,5,156,-45,-42,10
"144","2020-07-07",-12,6,136,-46,-42,11
"145","2020-07-08",-12,5,116,-46,-41,12
"146","2020-07-09",-11,6,136,-45,-40,11
"147","2020-07-10",-18,1,136,-44,-40,11
"148","2020-07-11",-20,-2,97,-37,-7,5
"149","2020-07-12",-12,-2,169,-31,-5,1
"150","2020-07-13",-10,3,150,-46,-42,10
"151","2020-07-14",-11,5,165,-46,-41,11
"152","2020-07-15",-10,5,159,-45,-40,10
"153","2020-07-16",-11,5,114,-47,-40,11
"154","2020-07-17",-15,4,141,-44,-40,10
"155","2020-07-18",-18,1,193,-29,-6,2
"156","2020-07-19",-15,-4,154,-34,-7,1
"157","2020-07-20",-7,7,183,-45,-43,10
"158","2020-07-21",-10,7,189,-46,-43,10
"159","2020-07-22",-12,4,134,-47,-42,11
"160","2020-07-23",-10,6,157,-46,-41,11
"161","2020-07-24",-17,2,162,-44,-41,10
"162","2020-07-25",-18,-1,201,-29,-6,2
"163","2020-07-26",-12,-3,191,-31,-6,0
"164","2020-07-27",-10,4,145,-47,-45,11
"165","2020-07-28",-10,7,182,-47,-43,10
"166","2020-07-29",-9,7,157,-45,-43,11
"167","2020-07-30",-7,9,171,-45,-43,10
"168","2020-07-31",-13,7,174,-41,-43,9
"169","2020-08-01",-17,0,211,-28,-9,1
