"date","rr","gp","p","ts","w","r"
"537","2021-08-04",0,17,176,-45,-39,7
"538","2021-08-05",0,16,179,-44,-38,7
"539","2021-08-06",-7,10,152,-43,-37,7
"540","2021-08-07",-6,8,146,-31,-5,1
"541","2021-08-08",2,8,182,-28,-4,-2
"542","2021-08-09",0,13,154,-46,-38,7
"543","2021-08-10",-1,15,150,-47,-37,8
"544","2021-08-11",-1,14,139,-45,-37,8
"545","2021-08-12",1,16,155,-45,-37,8
"546","2021-08-13",-6,11,145,-43,-36,7
"547","2021-08-14",-4,10,188,-27,-5,-1
"548","2021-08-15",5,10,212,-25,-4,-3
"549","2021-08-16",1,14,153,-45,-39,7
"550","2021-08-17",0,16,146,-46,-37,8
"551","2021-08-18",0,15,144,-44,-36,7
"552","2021-08-19",2,15,149,-43,-35,7
"553","2021-08-20",-4,12,137,-42,-35,7
"554","2021-08-21",-4,10,168,-28,-5,-1
"555","2021-08-22",4,9,164,-28,-4,-2
"556","2021-08-23",1,13,134,-44,-37,7
"557","2021-08-24",1,15,150,-45,-36,7
"558","2021-08-25",1,15,140,-42,-36,7
"559","2021-08-26",2,15,131,-42,-35,7
"560","2021-08-27",-3,12,133,-40,-34,6
"561","2021-08-28",-3,9,141,-28,-3,0
"562","2021-08-29",5,10,136,-29,-3,-1
"563","2021-08-30",3,14,123,-42,-36,7
"564","2021-08-31",4,19,129,-41,-35,7
"565","2021-09-01",3,19,124,-39,-35,7
"566","2021-09-02",3,17,122,-39,-34,7
"567","2021-09-03",-1,13,130,-38,-35,6
"568","2021-09-04",-2,10,166,-26,-7,0
"569","2021-09-05",11,13,167,-29,-8,-1
"570","2021-09-06",-19,-19,177,-56,-78,16
"571","2021-09-07",1,23,101,-40,-35,7
"572","2021-09-08",-2,15,81,-39,-34,8
"573","2021-09-09",-1,13,99,-38,-33,7
"574","2021-09-10",-4,8,105,-37,-31,6
"575","2021-09-11",-1,8,133,-29,-2,1
"576","2021-09-12",5,11,123,-31,-3,1
"577","2021-09-13",0,10,108,-39,-34,6
"578","2021-09-14",-4,10,84,-41,-33,7
"579","2021-09-15",-2,11,80,-39,-33,7
"580","2021-09-16",0,12,107,-39,-33,7
"581","2021-09-17",-4,6,90,-38,-32,7
"582","2021-09-18",1,9,129,-29,-3,1
"583","2021-09-19",7,10,142,-29,-4,0
"584","2021-09-20",8,14,132,-39,-33,6
"585","2021-09-21",-4,9,86,-41,-31,7
"586","2021-09-22",-6,5,44,-43,-28,9
"587","2021-09-23",-3,10,75,-40,-27,8
"588","2021-09-24",-5,7,81,-39,-27,7
"589","2021-09-25",-2,7,116,-30,-2,2
"590","2021-09-26",2,7,102,-33,-3,1
"591","2021-09-27",-5,6,68,-42,-28,8
"592","2021-09-28",-3,11,81,-42,-27,7
"593","2021-09-29",-1,10,63,-40,-27,7
"594","2021-09-30",3,13,83,-42,-34,9
"595","2021-10-01",-3,8,81,-37,-26,7
"596","2021-10-02",-1,7,88,-31,-3,2
"597","2021-10-03",2,8,80,-33,-5,2
"598","2021-10-04",-5,7,57,-42,-27,8
"599","2021-10-05",-2,13,68,-41,-26,7
"600","2021-10-06",-2,11,76,-39,-26,7
"601","2021-10-07",1,14,87,-38,-25,7
"602","2021-10-08",-2,14,79,-36,-26,7
"603","2021-10-09",-3,14,79,-30,-8,2
"604","2021-10-10",0,9,102,-33,-12,0
"605","2021-10-11",-24,-18,166,-57,-78,16
"606","2021-10-12",-5,12,71,-40,-27,7
"607","2021-10-13",-5,8,56,-39,-26,8
"608","2021-10-14",-4,8,62,-40,-25,8
"609","2021-10-15",-6,4,36,-39,-24,8
"610","2021-10-16",-2,6,31,-34,-4,4
"611","2021-10-17",4,6,74,-32,-5,3
"612","2021-10-18",-4,5,50,-42,-26,8
"613","2021-10-19",-5,8,65,-42,-25,8
"614","2021-10-20",-2,9,54,-39,-25,7
"615","2021-10-21",-3,7,33,-40,-24,8
"616","2021-10-22",-5,4,30,-38,-24,8
"617","2021-10-23",0,7,48,-30,-3,3
"618","2021-10-24",4,6,68,-32,-6,3
"619","2021-10-25",-7,2,11,-44,-26,9
"620","2021-10-26",-6,5,16,-43,-24,9
"621","2021-10-27",-1,10,50,-38,-24,7
"622","2021-10-28",1,10,37,-39,-23,8
"623","2021-10-29",-4,6,30,-37,-22,8
"624","2021-10-30",1,12,29,-30,-4,3
"625","2021-10-31",2,7,61,-28,-7,3
"626","2021-11-01",-5,5,31,-41,-26,8
"627","2021-11-02",-6,7,25,-42,-24,8
"628","2021-11-03",-6,6,24,-41,-24,8
"629","2021-11-04",-3,7,30,-40,-23,8
"630","2021-11-05",-5,3,26,-39,-22,8
"631","2021-11-06",0,5,41,-32,-4,3
"632","2021-11-07",6,7,68,-32,-6,2
"633","2021-11-08",-5,4,46,-41,-24,8
"634","2021-11-09",-6,5,29,-42,-23,8
"635","2021-11-10",-2,8,34,-39,-24,8
"636","2021-11-11",-5,2,37,-45,-42,13
"637","2021-11-12",-6,2,9,-42,-29,10
"638","2021-11-13",-2,3,9,-34,-5,4
"639","2021-11-14",-2,0,4,-36,-8,4
"640","2021-11-15",-8,1,3,-43,-25,9
"641","2021-11-16",-7,4,17,-41,-24,9
"642","2021-11-17",-8,4,7,-41,-24,9
"643","2021-11-18",-4,4,3,-41,-23,9
"644","2021-11-19",-4,4,8,-39,-23,9
"645","2021-11-20",1,6,17,-31,-3,4
"646","2021-11-21",3,4,19,-34,-7,3
"647","2021-11-22",-6,2,5,-43,-24,9
"648","2021-11-23",-6,4,12,-43,-23,9
"649","2021-11-24",-5,4,10,-41,-23,8
"650","2021-11-25",-1,4,1,-41,-23,9
"651","2021-11-26",0,4,-1,-39,-23,9
"652","2021-11-27",1,5,0,-34,-3,4
"653","2021-11-28",1,2,6,-36,-6,4
"654","2021-11-29",-3,4,6,-42,-24,8
"655","2021-11-30",-4,7,1,-42,-23,8
"656","2021-12-01",-2,8,7,-40,-23,8
"657","2021-12-02",-2,6,7,-41,-22,9
"658","2021-12-03",-4,4,4,-41,-22,9
"659","2021-12-04",0,6,8,-34,-3,4
"660","2021-12-05",0,3,8,-36,-6,4
"661","2021-12-06",-12,-3,-13,-46,-28,11
"662","2021-12-07",-5,8,0,-44,-22,9
"663","2021-12-08",-6,4,0,-42,-22,9
"664","2021-12-09",-3,6,4,-42,-22,9
"665","2021-12-10",-5,5,-2,-41,-20,9
"666","2021-12-11",-2,5,-3,-35,0,5
"667","2021-12-12",6,7,18,-34,-2,3
"668","2021-12-13",0,11,11,-43,-23,8
"669","2021-12-14",-1,11,13,-43,-22,8
"670","2021-12-15",0,11,0,-42,-23,9
"671","2021-12-16",3,13,9,-41,-22,9
"672","2021-12-17",-2,11,-1,-41,-22,9
"673","2021-12-18",-5,7,-8,-34,-2,5
"674","2021-12-19",4,6,19,-32,-3,4
"675","2021-12-20",7,21,8,-46,-35,10
"676","2021-12-21",7,28,12,-47,-38,11
"677","2021-12-22",8,36,2,-47,-40,12
"678","2021-12-23",12,53,10,-47,-45,13
"679","2021-12-24",-21,30,-5,-55,-65,18
"680","2021-12-25",-79,-75,-19,-61,-62,10
"681","2021-12-26",-19,-21,10,-44,-27,5
"682","2021-12-27",-12,0,10,-62,-74,20
"683","2021-12-28",-10,7,24,-59,-66,19
"684","2021-12-29",-10,10,15,-55,-58,18
"685","2021-12-30",-7,21,27,-55,-59,19
"686","2021-12-31",-22,18,20,-59,-65,21
"687","2022-01-01",-64,-63,-7,-61,-52,14
"688","2022-01-02",-29,-22,6,-49,-22,9
"689","2022-01-03",-15,7,0,-62,-62,20
"690","2022-01-04",-21,2,-5,-56,-43,17
"691","2022-01-05",-25,1,-13,-56,-43,17
"692","2022-01-06",-28,-3,-14,-58,-44,19
"693","2022-01-07",-32,-8,-21,-58,-41,19
"694","2022-01-08",-29,-3,-14,-51,-15,12
"695","2022-01-09",-33,-21,11,-51,-18,9
"696","2022-01-10",-26,-3,-20,-58,-39,16
"697","2022-01-11",-30,-8,-25,-60,-39,16
"698","2022-01-12",-27,-2,-10,-57,-38,16
"699","2022-01-13",-24,1,3,-56,-38,16
"700","2022-01-14",-28,-4,-14,-56,-36,16
"701","2022-01-15",-28,-4,-16,-53,-15,10
"702","2022-01-16",-29,-17,17,-51,-17,8
"703","2022-01-17",-44,-27,-22,-63,-49,20
"704","2022-01-18",-27,-1,-8,-55,-36,15
"705","2022-01-19",-27,-3,-12,-53,-33,14
"706","2022-01-20",-22,2,-4,-53,-32,14
"707","2022-01-21",-26,-5,-14,-53,-30,15
"708","2022-01-22",-23,-1,6,-47,-11,9
"709","2022-01-23",-23,-8,21,-48,-13,7
"710","2022-01-24",-27,-9,-10,-54,-32,13
"711","2022-01-25",-24,-2,-2,-53,-31,13
"712","2022-01-26",-25,-4,-10,-53,-32,13
"713","2022-01-27",-22,1,-1,-52,-31,13
"714","2022-01-28",-24,-2,-6,-51,-30,14
"715","2022-01-29",-24,-3,3,-46,-11,8
"716","2022-01-30",-22,-7,10,-47,-11,6
"717","2022-01-31",-18,-3,4,-50,-30,11
"718","2022-02-01",-17,2,9,-49,-29,11
"719","2022-02-02",-22,-3,-10,-51,-30,13
"720","2022-02-03",-24,-7,-12,-51,-30,13
"721","2022-02-04",-25,-10,-16,-50,-29,14
"722","2022-02-05",-17,-2,15,-41,-7,7
"723","2022-02-06",-13,-4,36,-43,-8,5
"724","2022-02-07",-18,-3,9,-48,-27,10
"725","2022-02-08",-19,-3,2,-49,-27,11
"726","2022-02-09",-17,-1,9,-47,-26,11
"727","2022-02-10",-15,2,2,-47,-26,11
"728","2022-02-11",-17,-2,1,-46,-25,11
"729","2022-02-12",-10,3,21,-38,-5,5
"730","2022-02-13",-10,3,17,-42,-6,4
"731","2022-02-14",-10,5,-4,-49,-27,10
"732","2022-02-15",-19,-5,2,-48,-26,10
"733","2022-02-16",-16,-3,3,-46,-25,10
"734","2022-02-17",-19,-6,-11,-48,-27,12
"735","2022-02-18",-21,-11,-10,-47,-33,14
"736","2022-02-19",-16,-7,-5,-40,-8,6
"737","2022-02-20",-4,-1,30,-38,-9,3
"738","2022-02-21",-23,-20,47,-57,-62,17
"739","2022-02-22",-16,0,-10,-49,-27,10
"740","2022-02-23",-17,-5,-10,-48,-27,10
"741","2022-02-24",-12,1,2,-46,-25,9
"742","2022-02-25",-21,-12,-11,-48,-25,11
"743","2022-02-26",-8,1,8,-38,-2,4
"744","2022-02-27",-10,-6,8,-40,-5,4
"745","2022-02-28",-13,-3,-2,-47,-28,9
"746","2022-03-01",-13,0,5,-46,-27,9
"747","2022-03-02",-13,-2,5,-46,-27,9
"748","2022-03-03",-12,-3,5,-46,-27,9
"749","2022-03-04",-14,-6,2,-46,-25,10
"750","2022-03-05",-6,0,26,-36,-3,3
"751","2022-03-06",-8,-6,28,-38,-6,3
"752","2022-03-07",-18,-8,-9,-47,-26,10
"753","2022-03-08",-14,-3,4,-46,-25,9
"754","2022-03-09",-14,-4,6,-45,-24,9
"755","2022-03-10",-11,-1,7,-45,-23,8
"756","2022-03-11",-15,-6,-12,-46,-23,10
"757","2022-03-12",-12,-7,-9,-41,-4,5
"758","2022-03-13",-10,-10,1,-41,-6,4
