date,reported,revised,mobility
2020-05-30,,778,-3.278178694158076
2020-05-31,,805,-3.6231589147286822
2020-06-01,,736,-9.67638326585695
2020-06-02,,729,-11.568915343915345
2020-06-03,,705,-11.420238095238096
2020-06-04,,620,-8.688621151271754
2020-06-05,,685,-8.716056910569105
2020-06-06,,519,-2.425595238095238
2020-06-07,,702,0.9596078431372548
2020-06-08,,619,-9.126858513189449
2020-06-09,,458,-9.833693045563548
2020-06-10,,480,-8.792146282973622
2020-06-11,,440,-7.992446043165468
2020-06-12,,433,-7.998800959232613
2020-06-13,,448,3.3162079510703366
2020-06-14,,359,6.070197044334975
2020-06-15,,376,-6.433573141486811
2020-06-16,,340,-5.477098321342925
2020-06-17,,383,-6.228896882494005
2020-06-18,,379,-5.2840527577937655
2020-06-19,,438,-4.229436450839328
2020-06-20,,364,8.14048706240487
2020-06-21,,295,10.991333333333332
2020-06-22,,364,-7.702158273381296
2020-06-23,,359,-5.946163069544364
2020-06-24,,316,-19.939868105515583
2020-06-25,,371,-4.236091127098322
2020-06-26,,181,-4.769904076738609
2020-06-27,,245,4.645984848484849
2020-06-28,,292,8.601477832512314
2020-06-29,,647,-6.174460431654675
2020-06-30,,278,-2.3443645083932854
2020-07-01,,192,-25.4552757793765
2020-07-02,,355,-5.192146282973621
2020-07-03,,326,-6.041606714628297
2020-07-04,,219,9.160151515151515
2020-07-05,,210,12.400323624595469
2020-07-06,,425,-5.396342925659472
2020-07-07,,205,-6.124580335731415
2020-07-08,,310,-6.3689448441247
2020-07-09,,325,-4.559772182254197
2020-07-10,,323,-4.979076738609113
2020-07-11,,176,4.965905631659056
2020-07-12,,206,10.917154471544716
2020-07-13,,673,-6.402038369304556
2020-07-14,,302,-6.0746402877697845
2020-07-15,,343,-5.3042565947242215
2020-07-16,,444,-4.979556354916067
2020-07-17,,435,-4.613549160671463
2020-07-18,,370,10.079984779299847
2020-07-19,,324,9.178398058252426
2020-07-20,,793,-5.310791366906474
2020-07-21,,562,-6.05341726618705
2020-07-22,,520,-7.190947242206236
2020-07-23,,452,-5.873441247002398
2020-07-24,,555,-5.877858002406739
2020-07-25,,344,9.620243531202432
2020-07-26,,321,11.24528455284553
2020-07-27,,717,-8.945923261390888
2020-07-28,,406,-7.437410071942447
2020-07-29,,499,-7.156534772182253
2020-07-30,,341,-5.15773381294964
2020-07-31,,494,-4.704676258992806
2020-08-01,,262,12.00958904109589
2020-08-02,,239,8.121440129449839
2020-08-03,,232,-19.823201438848923
2020-08-04,,705,-8.007613908872901
2020-08-05,,388,-4.964208633093525
2020-08-06,,367,-4.3618105515587535
2020-08-07,,419,-5.498255114320096
2020-08-08,,256,12.21788990825688
2020-08-09,,218,11.20957095709571
2020-08-10,,677,-5.563968824940048
2020-08-11,,351,-6.481294964028777
2020-08-12,,406,-5.29052757793765
2020-08-13,,388,-3.64832134292566
2020-08-14,,404,-4.055395683453238
2020-08-15,,230,11.747247706422018
2020-08-16,,173,11.16980198019802
2020-08-17,,732,-8.06557734204793
2020-08-18,,343,-6.480379746835443
2020-08-19,,337,-6.797693920335431
2020-08-20,,400,-6.8207805907173
2020-08-21,,515,-6.586423841059604
2020-08-22,,228,-2.935271317829457
2020-08-23,,257,-0.9523148148148146
2020-08-24,,789,-7.219337606837607
2020-08-25,,312,-6.268134171907757
2020-08-26,,484,-6.245073375262055
2020-08-27,,446,-6.061530398322851
2020-08-28,,505,-5.815692640692641
2020-08-29,,286,-3.985119047619048
2020-08-30,,251,0.395601851851852
2020-08-31,,1042,-6.519978632478632
2020-09-01,,504,-6.134171907756813
2020-09-02,,504,-6.521593291404613
2020-09-03,,589,-6.292510548523207
2020-09-04,,606,-6.113616557734206
2020-09-05,,365,-3.022745098039216
2020-09-06,,371,0.9478260869565218
2020-09-07,,438,-44.09452554744525
2020-09-08,,1455,-6.580922431865829
2020-09-09,,574,-6.498124999999999
2020-09-10,,632,-6.601759834368531
2020-09-11,,725,-4.702909090909091
2020-09-12,,470,7.6168949771689505
2020-09-13,,542,4.955958132045089
2020-09-14,,1401,-4.795863309352518
2020-09-15,,800,-4.2892086330935255
2020-09-16,,954,-5.383153477218225
2020-09-17,,1160,-5.148141486810552
2020-09-18,,1047,-4.227575757575758
2020-09-19,,855,6.284485407066052
2020-09-20,,828,11.086928104575165
2020-09-21,,1799,-5.285679903730445
2020-09-22,,1291,-6.070216606498194
2020-09-23,,1106,-5.949340527577937
2020-09-24,,1321,-4.386031175059951
2020-09-25,,1433,-4.482848484848485
2020-09-26,,1263,5.849090909090909
2020-09-27,,1418,8.911798679867987
2020-09-28,,2238,-4.780455635491607
2020-09-29,,1650,-5.412529976019185
2020-09-30,,1834,-6.427218225419664
2020-10-01,,1816,-4.562350119904077
2020-10-02,,2118,-5.856884057971015
2020-10-03,,1801,1.887651515151515
2020-10-04,,1625,2.2249597423510465
2020-10-05,,2878,-5.66978417266187
2020-10-06,,2393,-5.930095923261391
2020-10-07,,1845,-6.912350119904076
2020-10-08,,2472,-4.522182254196643
2020-10-09,,2527,-5.355495169082126
2020-10-10,,2118,0.7412079510703365
2020-10-11,,1628,-0.6059349593495934
2020-10-12,,1731,-36.295443645083935
2020-10-13,,3400,-7.79478417266187
2020-10-14,,2533,-6.393645083932854
2020-10-15,,2258,-6.113489208633093
2020-10-16,,2604,-7.214553140096617
2020-10-17,,2025,-2.045890410958904
2020-10-18,,1806,-2.3026442307692307
2020-10-19,,3237,-8.862589928057554
2020-10-20,,2333,-6.445023980815348
2020-10-21,,2693,-7.976318944844126
2020-10-22,,2827,-6.035191846522782
2020-10-23,,2639,-6.885679903730445
2020-10-24,,2244,-2.168125960061444
2020-10-25,,2076,-1.854807692307692
2020-10-26,,4145,-8.781414868105516
2020-10-27,,2704,-8.11732613908873
2020-10-28,,2657,-6.657673860911271
2020-10-29,,3003,-6.1210431654676265
2020-10-30,,3565,-6.1595410628019325
2020-10-31,,2377,-1.4487823439878236
2020-11-01,,2296,-6.749760765550239
2020-11-02,,3537,-9.80881294964029
2020-11-03,,4761,-9.483333333333334
2020-11-04,,3286,-8.451558752997602
2020-11-05,,3151,-6.876978417266188
2020-11-06,,4506,-7.61684717208183
2020-11-07,,3430,-2.5925
2020-11-08,,3169,-2.9203174603174604
2020-11-09,6551.0,6494,-10.02601918465228
2020-11-10,,4496,-6.442625899280576
2020-11-11,3951.0,3263,-22.479016786570742
2020-11-12,,6198,-8.912589928057553
2020-11-13,4770.0,4772,-10.19265944645006
2020-11-14,,3394,-6.418993993993993
2020-11-15,4236.0,3240,-10.296507936507936
2020-11-16,,8087,-10.937709832134292
2020-11-17,4469.0,4478,-10.324520383693043
2020-11-18,,4517,-10.4826139088729
2020-11-19,4793.0,4792,-9.269304556354916
2020-11-20,,5003,-9.36684717208183
2020-11-21,4913.0,4931,-5.479895366218236
2020-11-22,,4696,-10.24882075471698
2020-11-23,6897.0,6885,-12.436750599520384
2020-11-24,,5261,-11.1173860911271
2020-11-25,5128.0,5101,-11.640887290167866
2020-11-26,,5661,-9.19136690647482
2020-11-27,5954.0,5988,-9.877737665463297
2020-11-28,,5684,-6.155156950672645
2020-11-29,5355.0,5381,-6.722857142857143
2020-11-30,,7877,-10.404796163069545
2020-12-01,5675.0,5661,-10.711750599520384
2020-12-02,,6384,-9.599820143884893
2020-12-03,6209.0,6213,-8.124580335731414
2020-12-04,,6408,-10.394242424242425
2020-12-05,6235.0,6279,-7.515327380952381
2020-12-06,,6317,-10.618819776714512
2020-12-07,7938.0,7879,-10.93884892086331
2020-12-08,,6156,-9.67332134292566
2020-12-09,6359.0,6368,-10.740167865707432
2020-12-10,,6673,-8.686570743405277
2020-12-11,6689.0,6750,-8.581878787878788
2020-12-12,,5903,-7.863527653213752
2020-12-13,5813.0,5879,-13.187106918238992
2020-12-14,,8506,-9.377218225419664
2020-12-15,6187.0,6169,-9.83285371702638
2020-12-16,,6492,-9.726258992805754
2020-12-17,7045.0,7078,-10.63009592326139
2020-12-18,,6697,-12.275391095066183
2020-12-19,6366.0,6359,-7.4659259259259265
2020-12-20,,5858,-6.935229067930488
2020-12-21,7854.0,7804,-12.573561151079137
2020-12-22,,6253,-12.34406474820144
2020-12-23,6955.0,6943,-9.610851318944844
2020-12-24,,5683,-22.154556354916068
2020-12-25,391.0,549,-60.8260147601476
2020-12-26,,1894,-37.34477401129944
2020-12-27,10303.0,9655,-18.651228878648237
2020-12-28,,10583,-31.903776978417262
2020-12-29,8890.0,8828,-25.664328537170263
2020-12-30,,7608,-24.5742206235012
2020-12-31,8316.0,7122,-23.474460431654677
2021-01-01,,868,-54.14554334554335
2021-01-02,5243.0,4550,-23.93484848484848
2021-01-03,,12223,-16.255845181674566
2021-01-04,14373.0,13996,-19.06726618705036
2021-01-05,,7351,-16.89904076738609
2021-01-06,7929.0,7942,-17.700779376498797
2021-01-07,,8169,-17.330695443645087
2021-01-08,9202.0,9285,-18.07725631768953
2021-01-09,,8413,-15.877973568281934
2021-01-10,7200.0,7015,-16.788810641627542
2021-01-11,,8773,-17.74724220623501
2021-01-12,6086.0,6051,-17.967865707434054
2021-01-13,,7174,-18.60497601918465
2021-01-14,7482.0,7501,-21.030275779376492
2021-01-15,,6876,-19.92300724637681
2021-01-16,6268.0,6343,-22.51388888888889
2021-01-17,,5946,-21.090077519379847
2021-01-18,6656.0,6553,-18.69262589928057
2021-01-19,5217.0,5156,-18.46828537170264
2021-01-20,5554.0,5518,-18.193944844124697
2021-01-21,6247.0,6210,-18.47356115107913
2021-01-22,5777.0,5761,-18.87617328519856
